"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","9747","Validar ordenação Nome A-Z","","2026-05-18","passed","2026-05-18","Validação de ordenação dos produtos","ordenacao.spec.js","",""
"","9048","Deve realizar compra com sucesso","","2026-05-18","passed","2026-05-18","Fluxo de compra SauceDemo","fluxoCompra.spec.js","",""
"","3091","Validar comportamento do usuário problem_user","","2026-05-18","passed","2026-05-18","Validação de login SauceDemo","login.spec.js","",""
"","3532","Validar ordenação menor preço para maior","","2026-05-18","passed","2026-05-18","Validação de ordenação dos produtos","ordenacao.spec.js","",""
"","2367","Validar comportamento do usuário visual_user","","2026-05-18","passed","2026-05-18","Validação de login SauceDemo","login.spec.js","",""
"","4182","Validar ordenação Nome Z-A","","2026-05-18","passed","2026-05-18","Validação de ordenação dos produtos","ordenacao.spec.js","",""
"","7706","Validar comportamento do usuário performance_glitch_user","","2026-05-18","passed","2026-05-18","Validação de login SauceDemo","login.spec.js","",""
"","9345","Deve realizar logout com sucesso","","2026-05-18","passed","2026-05-18","Logout SauceDemo","logout.spec.js","",""
"","2263","Validar comportamento do usuário error_user","","2026-05-18","passed","2026-05-18","Validação de login SauceDemo","login.spec.js","",""
"","2271","Validar ordenação maior preço para menor","","2026-05-18","passed","2026-05-18","Validação de ordenação dos produtos","ordenacao.spec.js","",""
"","3799","Validar comportamento do usuário locked_out_user","","2026-05-18","passed","2026-05-18","Validação de login SauceDemo","login.spec.js","",""
"","8164","Validar comportamento do usuário standard_user","","2026-05-18","passed","2026-05-18","Validação de login SauceDemo","login.spec.js","",""
